1;Claire;0769646587
2;Caroline;0912363008
3;Marcel;0013908883
4;Eric;0450425837
5;Sean;0109889300
6;Tracy;0018998691
7;Henri;0117017886
8;Elisabeth;0076080599
9;Betsy;0490651393
10;Annie;0815790860
11;Victor;0756039207
12;Stanislas;0622181420
13;Frédéric;0942225706
14;Patrick;0507805484
15;Nour;0926935805
16;Steve;0673470118
17;Ramon;0117469696
18;Omara;0316508123
19;Chela;0645501099
20;Alice;0713168946
21;Louis;0507031860
22;Konrad;0216969773
23;Marcel;0172663818
24;John;0186984035
25;Carla;0708410214
26;Zoltan;0958613159
27;Esteban;0659815150
28;Pavel;0665861358
29;Katrina;0759863097
30;Ruben;0817894840
